Sample1	Sample2	Distance	Species_2	Species_1	Comparison
Andreas168	AH.068	0.995656965	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.068	0.995656965	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.065	0.988397461	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.065	0.988397461	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.052	0.99748141	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.052	0.99748141	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas169	AH.065	0.975906034	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas169	AH.065	0.975906034	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas169	AH.057	0.979835212	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas169	AH.057	0.979835212	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
